instant,date,season,yr,mnth,hr,holiday,weekday,workingday,weather,weather_desc,temp,rain_1h,snow_1h,clouds_all,traffic_volume
1,2015-06-11,3,0,6,20,0,4,1,Rain,light rain,14.44,0.0,0.0,92,2886
2,2015-06-12,3,0,6,18,0,5,1,Clear,Sky is Clear,24.39,0.0,0.0,0,4380
3,2015-06-12,3,0,6,20,0,5,1,Clear,sky is clear,18.91,0.0,0.0,8,3095
4,2015-06-12,3,0,6,21,0,5,1,Clear,sky is clear,18.91,0.0,0.0,8,3299
5,2015-06-13,3,0,6,21,0,6,0,Clouds,broken clouds,21.69,0.0,0.0,76,3040
6,2015-06-13,3,0,6,23,0,6,0,Clouds,broken clouds,19.99,0.0,0.0,56,2051
7,2015-06-14,3,0,6,20,0,0,0,Rain,light rain,22.91,0.0,0.0,88,2909
8,2015-06-19,3,0,6,18,0,5,1,Clear,Sky is Clear,25.86,0.0,0.0,0,4681
9,2015-06-20,3,0,6,18,0,6,0,Rain,light rain,22.22,0.0,0.0,88,4045
10,2015-06-22,3,0,6,0,0,1,1,Clouds,few clouds,20.36,0.0,0.0,12,742
11,2015-06-22,3,0,6,18,0,1,1,Clouds,few clouds,22.59,0.0,0.0,12,4415
12,2015-06-24,3,0,6,4,0,3,1,Clear,Sky is Clear,14.59,0.0,0.0,0,923
13,2015-06-24,3,0,6,6,0,3,1,Clear,Sky is Clear,17.08,0.0,0.0,0,5834
14,2015-06-24,3,0,6,7,0,3,1,Clear,Sky is Clear,17.08,0.0,0.0,0,5401
15,2015-06-24,3,0,6,8,0,3,1,Clear,Sky is Clear,17.08,0.0,0.0,0,5097
16,2015-06-24,3,0,6,10,0,3,1,Clouds,scattered clouds,23.85,0.0,0.0,36,4723
17,2015-06-24,3,0,6,11,0,3,1,Clouds,few clouds,26.73,0.0,0.0,24,4947
18,2015-06-24,3,0,6,13,0,3,1,Clouds,few clouds,26.73,0.0,0.0,24,5000
19,2015-06-24,3,0,6,14,0,3,1,Clouds,few clouds,28.07,0.0,0.0,12,5247
20,2015-06-24,3,0,6,15,0,3,1,Clouds,few clouds,28.07,0.0,0.0,12,5830
21,2015-06-24,3,0,6,16,0,3,1,Clouds,few clouds,28.07,0.0,0.0,12,6393
22,2015-06-24,3,0,6,18,0,3,1,Rain,light rain,24.76,0.0,0.0,92,4658
23,2015-06-24,3,0,6,19,0,3,1,Rain,light rain,24.76,0.0,0.0,92,3378
24,2015-06-24,3,0,6,20,0,3,1,Rain,light rain,24.76,0.0,0.0,92,3028
25,2015-06-24,3,0,6,21,0,3,1,Rain,moderate rain,18.75,0.0,0.0,92,2929
26,2015-06-24,3,0,6,22,0,3,1,Rain,moderate rain,18.75,0.0,0.0,92,2119
27,2015-06-24,3,0,6,23,0,3,1,Rain,moderate rain,18.75,0.0,0.0,92,1205
28,2015-06-25,3,0,6,0,0,4,1,Rain,light rain,18.47,0.0,0.0,88,762
29,2015-06-25,3,0,6,2,0,4,1,Rain,light rain,18.47,0.0,0.0,88,334
30,2015-06-25,3,0,6,3,0,4,1,Rain,light rain,17.94,0.0,0.0,88,352
31,2015-06-25,3,0,6,13,0,4,1,Clear,sky is clear,26.19,0.0,0.0,1,5116
32,2015-06-25,3,0,6,14,0,4,1,Clouds,broken clouds,26.38,0.0,0.0,75,5264
33,2015-06-25,3,0,6,15,0,4,1,Clouds,scattered clouds,26.75,0.0,0.0,40,6122
34,2015-06-25,3,0,6,16,0,4,1,Clouds,scattered clouds,26.65,0.0,0.0,40,6277
35,2015-06-25,3,0,6,17,0,4,1,Clouds,broken clouds,26.37,0.0,0.0,75,5996
36,2015-06-25,3,0,6,19,0,4,1,Clear,sky is clear,25.37,0.0,0.0,1,3843
37,2015-06-25,3,0,6,20,0,4,1,Clear,sky is clear,24.31,0.0,0.0,1,3207
38,2015-06-25,3,0,6,21,0,4,1,Clear,sky is clear,22.1,0.0,0.0,1,3189
39,2015-06-25,3,0,6,22,0,4,1,Clear,sky is clear,20.21,0.0,0.0,1,2469
40,2015-06-25,3,0,6,23,0,4,1,Clear,sky is clear,18.96,0.0,0.0,1,1507
41,2015-06-26,3,0,6,0,0,5,1,Clear,sky is clear,18.25,0.0,0.0,1,865
42,2015-06-26,3,0,6,1,0,5,1,Clear,sky is clear,17.39,0.0,0.0,1,495
43,2015-06-26,3,0,6,2,0,5,1,Clear,sky is clear,17.2,0.0,0.0,1,384
44,2015-06-26,3,0,6,4,0,5,1,Clear,sky is clear,16.68,0.0,0.0,1,866
45,2015-06-26,3,0,6,5,0,5,1,Clear,sky is clear,16.17,0.0,0.0,1,2735
46,2015-06-26,3,0,6,6,0,5,1,Clear,sky is clear,16.4,0.0,0.0,1,5588
47,2015-06-26,3,0,6,8,0,5,1,Clear,sky is clear,18.62,0.0,0.0,1,5031
48,2015-06-26,3,0,6,10,0,5,1,Clear,sky is clear,22.15,0.0,0.0,1,4428
49,2015-06-26,3,0,6,11,0,5,1,Haze,haze,23.65,0.0,0.0,1,4501
50,2015-06-26,3,0,6,13,0,5,1,Clear,sky is clear,25.85,0.0,0.0,1,4313
51,2015-06-26,3,0,6,14,0,5,1,Clear,sky is clear,26.18,0.0,0.0,1,5118
52,2015-06-26,3,0,6,15,0,5,1,Clear,sky is clear,26.35,0.0,0.0,1,5833
53,2015-06-26,3,0,6,16,0,5,1,Clouds,scattered clouds,26.49,0.0,0.0,40,6002
